Data,Hora,Ativa C (kWh)
08/09/2024,13,"922,68"
08/09/2024,14,"922,68"
08/09/2024,15,"921,24"
08/09/2024,16,"922,32"
08/09/2024,17,"922,32"
08/09/2024,18,"923,4"
08/09/2024,19,"923,76"
08/09/2024,20,"923,4"
08/09/2024,21,"923,4"
08/09/2024,22,"923,4"
08/09/2024,23,"923,76"
08/09/2024,24,"924,84"
09/09/2024,1,"924,12"
09/09/2024,2,"923,76"
09/09/2024,3,"923,4"
09/09/2024,4,"922,68"
09/09/2024,5,"922,68"
09/09/2024,6,"923,4"
09/09/2024,7,"923,04"
09/09/2024,8,"923,4"
09/09/2024,9,"922,68"
09/09/2024,10,"921,96"
09/09/2024,11,"921,96"
09/09/2024,12,"922,68"
09/09/2024,13,"922,68"
09/09/2024,14,"921,96"
09/09/2024,15,"921,96"
09/09/2024,16,"921,24"
09/09/2024,17,"921,24"
09/09/2024,18,"923,4"
09/09/2024,19,"923,4"
09/09/2024,20,"923,04"
09/09/2024,21,"922,32"
09/09/2024,22,"922,68"
09/09/2024,23,"923,04"
09/09/2024,24,"923,4"
10/09/2024,1,"922,68"
10/09/2024,2,"923,04"
10/09/2024,3,"922,32"
10/09/2024,4,"922,32"
10/09/2024,5,"922,32"
10/09/2024,6,"922,32"
10/09/2024,7,"923,04"
10/09/2024,8,"923,04"
10/09/2024,9,"922,32"
10/09/2024,10,"922,68"
10/09/2024,11,"921,96"
10/09/2024,12,"922,32"
10/09/2024,13,"923,4"
10/09/2024,14,"921,96"
10/09/2024,15,"921,96"
10/09/2024,16,"921,6"
10/09/2024,17,"921,96"
10/09/2024,18,"921,96"
10/09/2024,19,"922,32"
10/09/2024,20,"921,96"
10/09/2024,21,"921,24"
10/09/2024,22,"921,96"
10/09/2024,23,"922,68"
10/09/2024,24,"922,32"
11/09/2024,1,"922,32"
11/09/2024,2,"922,68"
11/09/2024,3,"922,68"
11/09/2024,4,"922,32"
11/09/2024,5,"922,68"
11/09/2024,6,"921,96"
11/09/2024,7,"922,32"
11/09/2024,8,"922,68"
11/09/2024,9,"921,6"
11/09/2024,10,"922,32"
11/09/2024,11,"921,96"
11/09/2024,12,"922,32"
11/09/2024,13,"921,96"
11/09/2024,14,"921,6"
11/09/2024,15,"921,96"
11/09/2024,16,"682,92"
11/09/2024,17,"295,56"
11/09/2024,18,"919,8"
11/09/2024,19,"923,04"
11/09/2024,20,"924,12"
11/09/2024,21,"923,76"
11/09/2024,22,"925,2"
11/09/2024,23,"925,56"
11/09/2024,24,"926,28"
12/09/2024,1,"926,28"
12/09/2024,2,"925,56"
12/09/2024,3,"926,28"
12/09/2024,4,"926,28"
12/09/2024,5,"926,28"
12/09/2024,6,"923,76"
12/09/2024,7,"923,76"
12/09/2024,8,"923,4"
12/09/2024,9,"923,76"
12/09/2024,10,"922,68"
12/09/2024,11,"921,6"
12/09/2024,12,"923,4"
12/09/2024,13,"923,4"
12/09/2024,14,"921,24"
12/09/2024,15,"921,6"
12/09/2024,16,"921,96"
12/09/2024,17,"921,6"
12/09/2024,18,"923,76"
12/09/2024,19,"924,12"
12/09/2024,20,"924,12"
12/09/2024,21,"923,04"
12/09/2024,22,"923,04"
12/09/2024,23,"923,76"
12/09/2024,24,"923,4"
13/09/2024,1,"924,12"
13/09/2024,2,"923,4"
13/09/2024,3,"923,04"
13/09/2024,4,"780,48"
13/09/2024,5,"2,88"
13/09/2024,6,"3,24"
13/09/2024,7,"2,52"
13/09/2024,8,"724,68"
13/09/2024,9,"921,6"
13/09/2024,10,"914,04"
13/09/2024,11,"907,92"
13/09/2024,12,"911,52"
13/09/2024,13,"911,88"
13/09/2024,14,"911,52"
13/09/2024,15,"911,52"
13/09/2024,16,"912,6"
13/09/2024,17,"912,24"
13/09/2024,18,"913,32"
13/09/2024,19,"912,96"
13/09/2024,20,"913,68"
13/09/2024,21,"913,68"
